open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1730061000000,67813.78,67842.1,67630.41,67687.99,21.69412,1730062799999,1469456.4422147,3135,7.23459,490000.3879347,0
1730062800000,67688.0,67870.11,67654.01,67870.11,14.134,1730064599999,957175.4535739,1062,9.68955,656242.7506731,0
1730064600000,67870.11,68100.0,67757.16,67860.0,47.17455,1730066399999,3203376.9503253,3798,21.79944,1480359.2557684,0
1730066400000,67860.01,68232.95,67856.87,68232.94,176.00198,1730068199999,11983530.0673522,7088,99.26912,6758784.7752475,0
1730068200000,68232.94,68261.99,68038.2,68039.25,36.29863,1730069999999,2473277.7064078,1768,18.93626,1290153.6143556,0
1730070000000,68039.26,68214.0,67972.22,67994.02,28.74862,1730071799999,1958409.8477129,1722,13.67488,931558.4015624,0
1730071800000,67987.77,68050.0,67912.0,67948.0,17.22416,1730073599999,1170827.8535983,1140,6.10658,415126.9701021,0
1730073600000,67948.0,68045.98,67891.09,67970.0,23.02029,1730075399999,1564727.5158244,1390,11.74595,798305.7691648,0
1730075400000,67970.0,67985.65,67763.84,67782.02,30.04829,1730077199999,2038882.2576458,1591,16.37042,1110527.9903532,0
1730077200000,67782.02,67836.1,67687.34,67721.56,25.53161,1730078999999,1730148.998969,1371,12.80096,867415.4223382,0
1730079000000,67721.56,67761.98,67664.84,67672.01,14.33425,1730080799999,970508.6883541,772,7.03897,476574.7943805,0
1730080800000,67672.0,67783.45,67603.68,67778.56,17.22888,1730082599999,1165857.113077,1078,9.13739,618268.882008,0
1730082600000,67778.56,67778.56,67659.21,67727.48,12.91675,1730084399999,874720.2813807,777,6.59707,446680.5319206,0
1730084400000,67727.48,67915.39,67705.99,67858.74,19.01379,1730086199999,1289774.551502,1221,9.87145,669531.1393771,0
1730086200000,67857.79,67887.99,67634.55,67661.48,23.08787,1730087999999,1563482.9840657,2440,8.01786,542820.1409379,0
1730088000000,67655.82,67731.23,67562.69,67592.02,19.00697,1730089799999,1285765.2087992,1575,7.98708,540189.5875809,0
1730089800000,67599.92,67704.82,67573.69,67672.55,20.68015,1730091599999,1398867.7073708,972,11.89595,804691.4411278,0
1730091600000,67672.55,67679.14,67619.21,67622.01,11.63043,1730093399999,786759.0092273,1786,5.44207,368134.0535286,0
1730093400000,67622.02,67885.75,67508.1,67831.48,49.17222,1730095199999,3328957.8969383,2466,14.5793,987294.5277784,0
1730095200000,67831.47,67866.99,67720.0,67749.37,21.8183,1730096999999,1479199.544169,1482,7.83519,531208.1996913,0
1730097000000,67749.37,67873.82,67717.04,67873.81,38.24742,1730098799999,2593703.2613319,1370,15.56477,1055396.6378782,0
1730098800000,67873.82,68589.09,67873.82,68519.57,127.10498,1730100599999,8674108.877046,8975,72.31809,4932642.9256867,0
1730100600000,68515.88,68580.0,68251.64,68332.02,73.58395,1730102399999,5034817.0990654,4449,30.77965,2105840.4425765,0
1730102400000,68336.01,68509.78,68330.0,68372.02,44.74085,1730104199999,3060012.0375834,2796,15.81834,1081880.715831,0
1730104200000,68372.01,68372.01,68246.0,68247.22,24.77069,1730105999999,1691496.6385778,1443,8.74576,597172.238632,0
1730106000000,68247.21,68391.03,68185.14,68223.75,21.9468,1730107799999,1498048.3599601,3949,9.54174,651243.7142813,0
1730107800000,68223.75,68533.52,68077.28,68495.08,47.01034,1730109599999,3210831.7196327,2807,23.08176,1577477.3376444,0
1730109600000,68495.08,68667.0,68469.1,68666.0,45.68699,1730111399999,3132496.950667,3873,19.46625,1334747.0570389,0
1730111400000,68667.95,68761.26,68544.21,68552.0,74.83418,1730113199999,5139957.8912822,4121,24.11393,1656014.9810878,0
1730113200000,68544.02,68688.8,68420.0,68667.0,46.5722,1730114999999,3192914.8414543,2647,26.47973,1815634.0579521,0
1730115000000,68666.54,68695.99,68572.0,68684.08,32.32006,1730116799999,2218749.1742383,2442,11.78695,809168.7809868,0
1730116800000,68684.09,68878.27,68514.0,68845.29,66.44985,1730118599999,4567608.4305939,4529,37.07462,2548737.2810684,0
1730118600000,68843.99,68985.0,68700.56,68836.02,124.30881,1730120399999,8561545.0654522,5834,64.40397,4435582.8865607,0
1730120400000,68836.01,69011.44,68800.0,68895.72,85.51127,1730122199999,5893751.5026354,4979,46.32946,3193340.4992739,0
1730122200000,68895.72,69218.3,68700.43,68762.01,212.42215,1730123999999,14658440.8379369,10792,112.52646,7766147.3105955,0
1730124000000,68768.69,69033.98,68622.83,68762.43,97.83917,1730125799999,6735046.2681654,7540,40.08792,2759165.7594262,0
1730125800000,68762.42,68972.15,68630.0,68796.0,91.23968,1730127599999,6278825.841885,5085,34.22586,2354988.0007815,0
1730127600000,68797.98,68802.53,68457.1,68475.98,72.4824,1730129399999,4973307.0451628,5190,28.04867,1924268.8664548,0
1730129400000,68475.98,68685.54,68382.84,68437.62,74.24606,1730131199999,5088789.8112389,4682,32.45586,2224237.5137927,0
